S.Word,Variation,Source,Start,End,Duration,ClipName,ClipStart,ClipEnd,ClipDuration
salud,1,Lista-D,01:01.720,01:05.440,3.72,salud.mp4,01:01.240,01:05.920,4.68
sangre,1,Lista-D,01:06.280,01:10.080,3.8,sangre.mp4,01:05.800,01:10.560,4.76
sangre,2,Lista-D,01:10.760,01:14.960,4.2,sangre_2.mp4,01:10.280,01:15.440,5.16
secador de pelo,1,Lista-D,01:15.800,01:20.080,4.28,secador_de_pelo.mp4,01:15.320,01:20.560,5.24
seguro,1,Lista-D,01:21.360,01:25.200,3.84,seguro.mp4,01:20.880,01:25.680,4.8
seguro,2,Lista-D,01:26.040,01:30.080,4.04,seguro_2.mp4,01:25.560,01:30.560,5
semana,1,Lista-D,01:31.280,01:35.480,4.2,semana.mp4,01:30.800,01:35.960,5.16
semana,2,Lista-D,01:36.360,01:40.320,3.96,semana_2.mp4,01:35.880,01:40.800,4.92
soledad,1,Lista-D,01:46.200,01:50.240,4.04,soledad.mp4,01:45.720,01:50.720,5
sonreír,1,Lista-D,01:51.160,01:54.880,3.72,sonreir.mp4,01:50.680,01:55.360,4.68
sordo,1,Lista-D,01:41.120,01:45.320,4.2,sordo.mp4,01:40.640,01:45.800,5.16
subtitulos,1,Lista-D,01:55.840,01:59.720,3.88,subtitulos.mp4,01:55.360,02:00.200,4.84
suertudo,1,Lista-D,02:01.000,02:04.760,3.76,suertudo.mp4,02:00.520,02:05.240,4.72
sueño,1,Lista-D,02:11.320,02:15.800,4.48,sueno.mp4,02:10.840,02:16.280,5.44
sueño,2,Lista-D,02:16.680,02:21.880,5.2,sueno_2.mp4,02:16.200,02:22.360,6.16
sueño,3,Lista-D,02:22.280,02:26.840,4.56,sueno_3.mp4,02:21.800,02:27.320,5.52
sánguche,1,Lista-D,02:28.680,02:32.439,3.759,sanguche.mp4,02:28.200,02:32.919,4.719
tarjeta de credito,1,Lista-D,02:33.520,02:38.160,4.64,tarjeta_de_credito.mp4,02:33.040,02:38.640,5.6
teatro,1,Lista-D,02:39.120,02:43.880,4.76,teatro.mp4,02:38.640,02:44.360,5.72
terminar,1,Lista-D,02:44.400,02:48.120,3.72,terminar.mp4,02:43.920,02:48.600,4.68
