S.Word,Variation,Source,Start,End,Duration,ClipName,ClipStart,ClipEnd,ClipDuration
paciente,1,Lista-E,03:10.400,03:14.200,3.8,paciente.mp4,03:09.920,03:14.680,4.76
amigable,1,Lista-E,03:25.320,03:29.400,4.08,amigable.mp4,03:24.840,03:29.880,5.04
chocolate,1,Lista-E,03:15.760,03:19.600,3.84,chocolate.mp4,03:15.280,03:20.080,4.8
lento,1,Lista-E,03:20.720,03:24.880,4.16,lento.mp4,03:20.240,03:25.360,5.12
serio,1,Lista-E,03:30.840,03:34.040,3.2,serio.mp4,03:30.360,03:34.520,4.16
gordo,1,Lista-E,03:35.760,03:39.480,3.72,gordo.mp4,03:35.280,03:39.960,4.68
tonto,1,Lista-E,03:40.040,03:43.760,3.72,tonto.mp4,03:39.560,03:44.240,4.68
solitario,1,Lista-E,03:49.680,03:54.480,4.8,solitario.mp4,03:49.200,03:54.960,5.76
viajar,1,Lista-E,03:45.280,03:49.080,3.8,viajar.mp4,03:44.800,03:49.560,4.76
ejercitar,1,Lista-F,00:05.360,00:09.120,3.76,ejercitar.mp4,00:04.880,00:09.600,4.72
hospital,1,Lista-E,03:55.480,03:58.960,3.48,hospital.mp4,03:55.000,03:59.440,4.44
iglesia,1,Lista-E,04:00.200,04:04.360,4.16,iglesia.mp4,03:59.720,04:04.840,5.12
accidente,1,Lista-E,04:05.720,04:09.320,3.6,accidente.mp4,04:05.240,04:09.800,4.56
medicina,1,Lista-E,04:10.760,04:14.960,4.2,medicina.mp4,04:10.280,04:15.440,5.16
hogar,1,Lista-F,00:10.480,00:13.840,3.36,hogar.mp4,00:10.000,00:14.320,4.32
desear,1,Lista-E,04:17.480,04:21.840,4.36,desear.mp4,04:17.000,04:22.320,5.32
vacacionar,1,Lista-E,04:22.280,04:25.920,3.64,vacacionar.mp4,04:21.800,04:26.400,4.6
mundo,1,Lista-E,04:26.640,04:30.960,4.32,mundo.mp4,04:26.160,04:31.440,5.28
duro,1,Lista-E,04:36.040,04:40.000,3.96,duro.mp4,04:35.560,04:40.480,4.92
azul,1,Lista-E,04:31.920,04:35.560,3.64,azul.mp4,04:31.440,04:36.040,4.6
aprender,1,Lista-E,04:41.400,04:45.240,3.84,aprender.mp4,04:40.920,04:45.720,4.8
problema,1,Lista-E,04:46.280,04:49.920,3.64,problema.mp4,04:45.800,04:50.400,4.6
